HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Country,Answer.GDPPC,Answer.IDV,Answer.IND,Answer.LTO,Answer.MAS,Answer.PDI,Answer.UAI,Approve,Reject
3CO05SML7U45HCLVCKS5NBUUC8WR0X,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3EICBYG644VB00VS6XHI545O86RCJY,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 18:08:57 PST 2017,Sat Feb 11 18:09:21 PST 2017,Tue Feb 14 18:09:21 PST 2017,,,,24,0% (0/0),0% (0/0),0% (0/0),Canada,"$46,200",80,68,36,52,39,48,,
3CO05SML7U45HCLVCKS5NBUUC8WR0X,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3QUO65DNQUNLN53P81UN768GE06UO7,AELFDOPFPTHT0,Submitted,Sat Feb 11 17:23:46 PST 2017,Sat Feb 11 17:28:29 PST 2017,Tue Feb 14 17:28:29 PST 2017,,,,283,0% (0/0),0% (0/0),0% (0/0),Canada,"$46,200",80,68,36,52,39,48,,
3BAKUKE49GB5O16D83W51GD4H02R10,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3K772S5NP8AU6SKGEOKSJFPCGQYHEP,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 16:56:55 PST 2017,Sat Feb 11 16:57:59 PST 2017,Tue Feb 14 16:57:59 PST 2017,,,,64,0% (0/0),0% (0/0),0% (0/0),Cape Verde,6700,20,83,12,15,75,40,,
3BAKUKE49GB5O16D83W51GD4H02R10,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3YOH7BII0962AT7AFZCZWBTQ827KV4,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 18:13:58 PST 2017,Sat Feb 11 18:14:55 PST 2017,Tue Feb 14 18:14:55 PST 2017,,,,57,0% (0/0),0% (0/0),0% (0/0),Cape Verde,6700,20,83,12,15,75,40,,
3511RHPADUDIE8AH1DEOLVMIF67LR0,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3JJVG1YBEBWKJWO13VHTTAG18KW5BY,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 18:09:22 PST 2017,Sat Feb 11 18:09:48 PST 2017,Tue Feb 14 18:09:48 PST 2017,,,,26,0% (0/0),0% (0/0),0% (0/0),Chile,"$24,000",23,68,31,28,63,86,,
3511RHPADUDIE8AH1DEOLVMIF67LR0,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3VELCLL3GKIB8VZY7A1D9AU5B2IF17,AELFDOPFPTHT0,Submitted,Sat Feb 11 17:29:37 PST 2017,Sat Feb 11 17:31:22 PST 2017,Tue Feb 14 17:31:22 PST 2017,,,,105,0% (0/0),0% (0/0),0% (0/0),Chile,"$24,000",23,68,31,28,63,86,,
3LXX8KJXPV8KGTHSKOUUMRQI4P6O9X,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3IXQG4FA2TX3KJQD6LUA5QL3UGE9BS,A2C929NA28XOWX,Submitted,Sat Feb 11 17:53:30 PST 2017,Sat Feb 11 17:55:43 PST 2017,Tue Feb 14 17:55:43 PST 2017,,,,133,0% (0/0),0% (0/0),0% (0/0),China,"$15,400",20,24,87,66,80,30,,
3LXX8KJXPV8KGTHSKOUUMRQI4P6O9X,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3W2LOLRXLBEAHMQT6F7PVE4NNWSRKG,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 16:59:25 PST 2017,Sat Feb 11 17:00:02 PST 2017,Tue Feb 14 17:00:02 PST 2017,,,,37,0% (0/0),0% (0/0),0% (0/0),China,"$15,400",20,24,87,66,80,30,,
35XW21VSVFDUFNAUG2ETB5RE18QLSO,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,31UV0MXWNQBU6427959AFXKE3AF5I6,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 17:37:12 PST 2017,Sat Feb 11 17:37:58 PST 2017,Tue Feb 14 17:37:58 PST 2017,,,,46,0% (0/0),0% (0/0),0% (0/0),Colombia,14200,13,83,13,64,67,80,,
35XW21VSVFDUFNAUG2ETB5RE18QLSO,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3EFVCAY5L389OX5FPL1D3I95IF5J8Y,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 17:51:01 PST 2017,Sat Feb 11 17:57:50 PST 2017,Tue Feb 14 17:57:50 PST 2017,,,,409,0% (0/0),0% (0/0),0% (0/0),Colombia,"$14,200",13,83,13,64,67,80,,
3KA7IJSNW54LPM8QX8L52XQY2U5BPB,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,31N2WW6R9RP7IYDDUEFWX3929MX3FO,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 18:09:32 PST 2017,Sat Feb 11 18:19:43 PST 2017,Tue Feb 14 18:19:43 PST 2017,,,,611,0% (0/0),0% (0/0),0% (0/0),Costa Rica,"$16,100",15,0,0,21,35,86,,
3KA7IJSNW54LPM8QX8L52XQY2U5BPB,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3M0NZ3JDP1XG1URH99XWFSN4ZNHZ5X,AELFDOPFPTHT0,Submitted,Sat Feb 11 18:00:00 PST 2017,Sat Feb 11 18:01:05 PST 2017,Tue Feb 14 18:01:05 PST 2017,,,,65,0% (0/0),0% (0/0),0% (0/0),Costa Rica,"$16,100",15,0,0,21,35,86,,
3SX4X51T8Z8YLCRXCU8UIM12A7OOAC,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,37Z929RLG97LLKGTFDLMMFWFSB3TSD,A5YNMUFWH5Z7K,Submitted,Sat Feb 11 17:58:19 PST 2017,Sat Feb 11 18:04:51 PST 2017,Tue Feb 14 18:04:51 PST 2017,,,,392,0% (0/0),0% (0/0),0% (0/0),Croatia,"$22,400",33,33,58,40,73,80,,
3SX4X51T8Z8YLCRXCU8UIM12A7OOAC,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3S4AW7T80BHE0M6DG3ND2L6SKIEL4V,AELFDOPFPTHT0,Submitted,Sat Feb 11 17:47:32 PST 2017,Sat Feb 11 17:49:29 PST 2017,Tue Feb 14 17:49:29 PST 2017,,,,117,0% (0/0),0% (0/0),0% (0/0),Croatia,"$22,400",33,33,58,40,73,80,,
31S7M7DAGFPVUNN952JJLAN03R4LTD,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,36DSNE9QZ5XC9PSVW2Q904Z5XK9JO1,A3L6BJPQ4ROWA1,Submitted,Sat Feb 11 17:54:24 PST 2017,Sat Feb 11 17:55:41 PST 2017,Tue Feb 14 17:55:41 PST 2017,,,,77,0% (0/0),0% (0/0),0% (0/0),Czech Republic,"$33,200",58,29,70,57,57,74,,
31S7M7DAGFPVUNN952JJLAN03R4LTD,3U2Q8YJAS8O1IPS7778TP0KXV9FT5E,Find GDP and culture data for countries,"Given the name of a country and web addresses, find economic and cultural data","data collection, web data",$0.05,Sat Feb 11 16:27:36 PST 2017,2,BatchId:2684442;OriginalHitTemplateId:920937305;,1800,259200,Sat Feb 18 16:27:36 PST 2017,,,3F6HPJW4JDZK823PG3BRIHQAYBNW24,ARP1L3PIDJ8T2,Submitted,Sat Feb 11 18:24:26 PST 2017,Sat Feb 11 18:26:20 PST 2017,Tue Feb 14 18:26:20 PST 2017,,,,114,0% (0/0),0% (0/0),0% (0/0),Czech Republic,33200,58,29,70,57,57,74,,
